,lpt odds,r1 spread,r1 pup,r2 spread,r2 pup,enhanced_markov,r1_0,r1_1,r1_2,r1_3,r2_0,r2_1,r2_2,r2_3
2018-07-11 15:28:25,0.8154964429322611,0.010049220272602565,0.4456914611928077,0.12089744565115496,0.45316873545743863,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:28:30,0.8172434729811779,0.012116727620585329,0.4942324745653388,0.15020533290656293,0.4839226857969704,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:28:35,0.8154964429322611,0.015228109916058557,0.5164265915235687,0.18977602096695814,0.5058188044955056,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:28:40,0.8176937943913025,0.01989223058658607,0.562489791785672,0.23890419420758402,0.5674902619849285,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:28:45,0.8171610374979028,0.019402787856242318,0.635286511905777,0.28113059282154995,0.5703393608879495,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:28:50,0.7525835828074634,0.019447293843821226,0.6423272715704185,0.2877309684625278,0.596629356787054,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:28:55,0.7421652421652422,0.020774110840550402,0.6430150064590446,0.29302883999198287,0.6247460466044482,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:29:00,0.738985754985755,0.020291430254687274,0.6791879174427236,0.2864632943825038,0.5828419534945753,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:29:05,0.7417333909871223,0.014600580751146092,0.6860446504467574,0.27921913827653233,0.5129910300690649,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:29:10,0.7445408066496174,0.014469633778864956,0.6797425765005177,0.2762357959294668,0.597920907420769,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:29:15,0.7537878787878788,0.017104143050238423,0.6691626148528552,0.2744519423611209,0.5608233474011989,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:29:20,0.7559184654905828,0.016844168341498933,0.6936186217178161,0.28132315260992613,0.6760351341827641,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:29:25,0.7566793893129771,0.02092374268612359,0.7185582297469526,0.2844175144282459,0.7171253150680457,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:29:30,0.7566793893129771,0.025714244849254213,0.7334678803114391,0.28262111793514044,0.8195623989170584,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
