,lpt odds,r1 spread,r1 pup,r2 spread,r2 pup,r1_setscore,r2_setscore
2018-07-07 11:23:58,0.6114359662576687,0.008733486531518647,0.5005262044631986,0.04942807321456475,0.8551099524152714,2.0,3.0
2018-07-07 11:24:00,0.6114359662576687,0.008972340574427744,0.4785370976211146,0.049450458710108725,0.8557587439564608,2.0,3.0
2018-07-07 11:24:02,0.6114359662576687,0.009251524466872222,0.4678575950488953,0.04972033318552352,0.8551778067732085,2.0,3.0
2018-07-07 11:24:04,0.6114359662576687,0.009425232661789552,0.44457784898342695,0.05023796421698596,0.8534179423736479,2.0,3.0
2018-07-07 11:24:06,0.6113574802219042,0.009542711035511625,0.4201905167781582,0.051003424622958086,0.8504739858704032,2.0,3.0
2018-07-07 11:24:08,0.610572619864259,0.009379230685477975,0.3738364888251425,0.052000861140525524,0.8464337165666855,2.0,3.0
2018-07-07 11:24:10,0.6097877595066139,0.00900084560175111,0.3659322599955636,0.052721197028210876,0.8421881496270452,2.0,3.0
2018-07-07 11:24:12,0.6090028991489687,0.008624204160349765,0.35229100146350156,0.05218153711305217,0.8369101042027476,2.0,3.0
2018-07-07 11:24:14,0.607790229414126,0.00845094517608839,0.35294407500700165,0.051935830178553674,0.8323615296376895,2.0,3.0
2018-07-07 11:24:16,0.6064653503677895,0.008583675113215072,0.3549784859799636,0.05147398701861636,0.8296668707284351,2.0,3.0
2018-07-07 11:24:18,0.6064653503677895,0.008623198127586466,0.34998529354720853,0.050923447509505185,0.8281361897829974,2.0,3.0
2018-07-07 11:24:20,0.6064653503677895,0.008618038083842209,0.34279877075327175,0.05079567305267164,0.8189840312371123,2.0,3.0
2018-07-07 11:24:22,0.6064653503677895,0.008614520829877757,0.3304538979019057,0.05076969728511892,0.8095886504573919,2.0,3.0
2018-07-07 11:24:24,0.6064653503677895,0.008662222372601964,0.3435002720666351,0.05073962138893733,0.7999071914264444,2.0,3.0
2018-07-07 11:24:26,0.6064653503677895,0.008925244608663062,0.3475020451132928,0.050457549819419516,0.7898438165069438,2.0,3.0
2018-07-07 11:24:28,0.6064653503677895,0.00844405425295823,0.34829588885000445,0.04986743220122368,0.7783452440753276,2.0,3.0
2018-07-07 11:24:30,0.6064653503677895,0.00803163202142737,0.3512390886443025,0.049549511646683385,0.765738321580294,2.0,3.0
2018-07-07 11:24:32,0.6064653503677895,0.007931046285940707,0.3518148975784302,0.04860158765873938,0.7561903188234056,2.0,3.0
2018-07-07 11:24:34,0.6064653503677895,0.007725128563771662,0.35073606688918596,0.047847747634025925,0.7456392956832456,2.0,3.0
2018-07-07 11:24:36,0.6064653503677895,0.008258439654925455,0.35088949923310053,0.04826304411201172,0.7301584711960228,2.0,3.0
2018-07-07 11:24:38,0.6064653503677895,0.00938666179745347,0.3562419069121182,0.04943445084249234,0.7094987600020728,2.0,3.0
2018-07-07 11:24:40,0.6064653503677895,0.01052834010492104,0.3627739765799975,0.050856069192305196,0.6897451651248093,2.0,3.0
2018-07-07 11:24:42,0.6064653503677895,0.01122181286550637,0.3687804849327552,0.05217010075837346,0.6706789221909233,2.0,3.0
2018-07-07 11:24:44,0.6064653503677895,0.011466424405695813,0.36957005446450386,0.05306338951378099,0.6392470428510972,2.0,3.0
2018-07-07 11:24:46,0.6064653503677895,0.011419810426282937,0.36428892618359154,0.053689291512774066,0.6236849607944195,2.0,3.0
2018-07-07 11:24:48,0.6064653503677895,0.011417485556475777,0.3597946327552061,0.05392465146477541,0.6106094190286834,2.0,3.0
2018-07-07 11:24:50,0.6064653503677895,0.01157893693477182,0.3645800195933773,0.0540701380584684,0.5840592500785032,2.0,3.0
2018-07-07 11:24:52,0.6064653503677895,0.011921006767007067,0.371055231008403,0.05407328527969956,0.5439795781299679,2.0,3.0
2018-07-07 11:24:54,0.6064653503677895,0.011918580731239043,0.3757158848892386,0.05380462555586447,0.5060534893257432,2.0,3.0
2018-07-07 11:24:56,0.6064653503677895,0.011916155682711935,0.38157525613460047,0.053214270279196146,0.4646447086957823,2.0,3.0
2018-07-07 11:24:58,0.6059913852705792,0.01182505893760696,0.3863408797529486,0.05386769153718337,0.42448206352783374,2.0,3.0
2018-07-07 11:25:00,0.6053989288990664,0.011715297423843923,0.3821905044958699,0.053449933641185415,0.39008614254005897,2.0,3.0
2018-07-07 11:25:02,0.6048064725275536,0.01184094349743128,0.38058189730273195,0.05196091354475285,0.36521847594601814,2.0,3.0
2018-07-07 11:25:04,0.6042140161560408,0.011657549941672715,0.3880066105103574,0.04992754687490183,0.34914758449679306,2.0,3.0
2018-07-07 11:25:06,0.603621559784528,0.011481378370289782,0.4028541933140964,0.048135329760527534,0.33812866940948516,2.0,3.0
2018-07-07 11:25:08,0.6030291034130152,0.011229991319691178,0.4176896840696572,0.04682103745982236,0.33133508387519034,2.0,3.0
2018-07-07 11:25:10,0.602353196980708,0.011032905330988465,0.4251433543528483,0.045986124320526324,0.3290024904408573,2.0,3.0
2018-07-07 11:25:12,0.6017036916571699,0.010864126914703433,0.43162711556128236,0.04785642553225735,0.33712505927641717,2.0,3.0
2018-07-07 11:25:14,0.6010541863336316,0.011328970594110333,0.4291396426013353,0.0496558210475414,0.32951957837787565,2.0,3.0
2018-07-07 11:25:16,0.6007712972303682,0.012238383325834472,0.42926490348285357,0.05033101778578442,0.33139713644447116,2.0,3.0
2018-07-07 11:25:18,0.6108909459686669,0.012842398601063062,0.43216252424248836,0.050331017785784936,0.32338654834336844,2.0,3.0
2018-07-07 11:25:20,0.6133495565581227,0.013269691733067976,0.4371447389789111,0.052347002232867,0.3178360643925439,2.0,3.0
2018-07-07 11:25:22,0.6141665161156836,0.01382036157483227,0.44112866508199206,0.05382399838576511,0.3297824000842296,2.0,3.0
2018-07-07 11:25:24,0.6149834756732444,0.014227723076079168,0.43453768323153646,0.054756982723231956,0.3351019629462152,2.0,3.0
2018-07-07 11:25:26,0.6158004352308053,0.013973253905373413,0.4409550018269957,0.05425850342514425,0.3327465202447077,2.0,3.0
2018-07-07 11:25:28,0.6166173947883662,0.014213221029304886,0.4492384237792118,0.0548269030637424,0.33399925472932396,2.0,3.0
2018-07-07 11:25:30,0.617434354345927,0.014221921274546735,0.45948646082608685,0.054390933244681965,0.3297375281908528,2.0,3.0
2018-07-07 11:25:32,0.6182513139034878,0.014230632177560334,0.47952201459247323,0.05394054604260674,0.32136213151668563,2.0,3.0
2018-07-07 11:25:34,0.6182513139034878,0.015236923005839769,0.490591878488506,0.05353663259005017,0.3163914312372087,2.0,3.0
2018-07-07 11:25:36,0.6182513139034878,0.01565105858054359,0.4958854579515748,0.052953502211836,0.31774564230820423,2.0,3.0
2018-07-07 11:25:38,0.6182513139034878,0.015345666669343212,0.49319294532718205,0.05255201737979686,0.3204760766413387,2.0,3.0
2018-07-07 11:25:40,0.6182513139034878,0.01506381002503195,0.4864119190807074,0.05176539490850338,0.32574829122675697,2.0,3.0
2018-07-07 11:25:42,0.6182513139034878,0.01589613502195121,0.47653163836537643,0.05110944098429458,0.33309627932404307,2.0,3.0
2018-07-07 11:25:44,0.6183558821594584,0.01665240936517291,0.46724060351331054,0.05047385737382354,0.3401175031136779,2.0,3.0
2018-07-07 11:25:46,0.6190530038659287,0.01657830023279438,0.4630946725824857,0.05012109459792092,0.33212126563034206,2.0,3.0
2018-07-07 11:25:48,0.619750125572399,0.016404770584208955,0.4686212961761549,0.04978873220520649,0.3241316541745169,2.0,3.0
2018-07-07 11:25:50,0.6204472472788691,0.015433876773205088,0.46992499764525913,0.048979724029554146,0.317200504145154,2.0,3.0
2018-07-07 11:25:52,0.6211443689853395,0.0150539569250997,0.4795671959847221,0.04898156959792344,0.3105678456366981,2.0,3.0
2018-07-07 11:25:54,0.6218414906918097,0.01592374821244665,0.4855076511918876,0.05011944334001297,0.30920901917765126,2.0,3.0
2018-07-07 11:25:56,0.6225386123982801,0.016073444097624574,0.4740568659492711,0.05096921097394077,0.31401931317882553,2.0,3.0
2018-07-07 11:25:58,0.6232357341047503,0.016096704197332303,0.46279605611903296,0.05025832364989492,0.3200394245549813,2.0,3.0
2018-07-07 11:26:00,0.6239328558112206,0.016081148586996306,0.4627535422594892,0.05058067267390888,0.31530309936997164,2.0,3.0
2018-07-07 11:26:02,0.6246299775176909,0.015674420811921396,0.4531903803533126,0.05146114757537013,0.3248426606049233,2.0,3.0
2018-07-07 11:26:04,0.6253270992241612,0.015685000396206874,0.4515487777660435,0.05238265560377243,0.3497582932522227,2.0,3.0
2018-07-07 11:26:06,0.6260242209306315,0.015642694616012528,0.45465469384546536,0.05258634034124299,0.39058879383249845,2.0,3.0
2018-07-07 11:26:08,0.6248850290415546,0.01575739104201366,0.4495607744041352,0.0517658720877298,0.4421972385186804,2.0,3.0
2018-07-07 11:26:10,0.6232867587535911,0.015723458568013104,0.4530812460771674,0.05014342124347883,0.49482599655030896,2.0,3.0
2018-07-07 11:26:12,0.6216884884656275,0.016251936903354358,0.4547873769839685,0.04808175353170382,0.5265615128977708,2.0,3.0
2018-07-07 11:26:14,0.620090218177664,0.01639889632412722,0.45364885553296086,0.04706686766454804,0.5469050274872409,2.0,3.0
2018-07-07 11:26:16,0.6184919478897004,0.015736401181808513,0.4549981534862387,0.04641116666011884,0.5596879107137783,2.0,3.0
2018-07-07 11:26:18,0.6168936776017369,0.015877634438132747,0.45651040268010823,0.04653599975353638,0.591311256336915,2.0,3.0
2018-07-07 11:26:20,0.6163342830009497,0.015554670451873625,0.4432463845564097,0.04460230722663074,0.6191283624451912,2.0,3.0
2018-07-07 11:26:22,0.6163342830009497,0.015204259407468137,0.4590544018110826,0.04287137619545176,0.6355525188477337,2.0,3.0
2018-07-07 11:26:24,0.6163342830009497,0.014739732657265522,0.47976072484801335,0.04162703091499226,0.659499880997534,2.0,3.0
2018-07-07 11:26:26,0.6163342830009497,0.015153412165890914,0.47694355657859483,0.04182853580745297,0.681824118314357,2.0,3.0
2018-07-07 11:26:28,0.6163342830009497,0.015663470292100173,0.4803009053233757,0.04208138055677754,0.6925993091268148,2.0,3.0
